episode,length,total_reward,avg_q
0,999,-6.460411025199714,-0.0006738844
1,999,-4.48686620852274,-0.0016446179
2,999,-43.25608516857028,-0.0016667321
3,999,-12.438197870440549,-0.0017806769
4,999,-8.36287992913166,-0.0020774705
5,999,-18.41762867950092,-0.0024475066
6,999,-26.702811752822857,-0.0027655638
7,999,-44.68883897761801,-0.0036289059
8,999,-24.43843429577396,-0.0037750234
9,999,-6.480408754026204,-0.003966927
10,999,-5.296910750372416,-0.0040071532130241
11,999,-2.0283739478044005,-0.0040848436765372
12,999,-3.639824305518232,-0.004167279228568
13,999,-2.606610852596397,-0.0043394374661147
14,999,-7.655595738366569,-0.0044958661310374
15,999,-35.89404874620959,-0.0044182324782013
16,999,-7.821526199464763,-0.00457832403481
17,999,-2.9710506593227493,-0.0046329880133271
18,999,-6.386126488320925,-0.004546889103949
19,999,-15.884042416557229,-0.0048968526534736
20,999,-19.27588303392986,-0.0046523129567503
21,999,-41.95730938203633,-0.0047181090340018
22,999,-2.312482621387187,-0.0046684308908879
23,999,-5.406854046751892,-0.0047695571556687
24,999,-11.398477608279835,-0.0046368273906409
25,999,-13.445453395694082,-0.0046554184518754
26,999,-3.3449161518713257,-0.0050489199347794
27,999,-7.665681168924365,-0.0045417244546115
28,999,-12.182796863375671,-0.0046301153488457
29,999,-2.9343494160298933,-0.0050603738054633
30,999,-24.69619613689406,-0.0049761976115405
31,999,-16.993096016161086,-0.0048763789236545
32,999,-6.064887771678491,-0.0049855359829962
33,999,-69.28023107908666,-0.0051504964940249
34,999,-17.34518284040678,-0.0049707908183336
35,999,-1.5510471938782544,-0.0057446234859526
36,999,-1.709627384518292,-0.0053928475826978
37,999,-19.340812343354628,-0.0057844170369207
38,999,-3.884706328390168,-0.0058958046138286
39,999,-15.755725991095822,-0.0058511365205049
40,999,-36.5075690636877,-0.0061961361207067
41,999,-8.805807817370294,-0.0060104392468929
42,999,-15.778613872204645,-0.0062797055579721
43,999,-22.498427715396065,-0.0061704451218247
44,999,-4.77729816325449,-0.0062258997932076
45,999,-9.056201000333465,-0.0062102652154862
46,999,-5.0409755336629445,-0.0062629347667098
47,999,-1.7241442524231747,-0.006460134871304
48,999,-1.946846604555112,-0.0063624619506299
49,999,-23.18873067207121,-0.0065468624234199
50,999,-8.080639879478383,-0.0065755560062825
51,999,-4.704817297480371,-0.0065012513659894
52,999,-13.937252659976366,-0.0068840645253658
53,999,-19.090346334676724,-0.006790186278522
54,999,-4.948439910175388,-0.0066805714741349
55,999,-8.057711114738133,-0.0069732563570141
56,999,-2.524391884876376,-0.0074296630918979
57,999,-14.990230797338114,-0.006942487321794
58,999,-62.087824115280455,-0.0071067595854401
59,999,-3.933052856923857,-0.0071962857618927
60,999,-15.50278532124139,-0.0071879848837852
61,999,-3.02407440158136,-0.0074593042954802
62,999,-1.3282439382112503,-0.0075760977342724
63,999,-5.129389714011623,-0.0075972764752805
64,999,-8.708292842354739,-0.0077899880707263
65,999,-7.49819649425072,-0.0078882314264774
66,999,-29.946386728043308,-0.0077966330572962
67,999,-2.02634916123203,-0.0077721565030515
68,999,-7.849252113103152,-0.0078038414940238
69,999,-10.20120821401648,-0.0077648824080824
70,999,-61.776137825101614,-0.0075853178277611
71,999,-12.132210870432708,-0.0075668157078325
72,999,-7.36417496706978,-0.00761808315292
73,999,-28.20276371203363,-0.0072923726402223
74,999,-3.879719498155588,-0.0076467087492346
75,999,-5.672273581650856,-0.0074909152463078
76,999,-16.75856378588091,-0.007771466858685
77,999,-19.409464074969208,-0.0075270072557032
78,999,-43.38074594084173,-0.0072661852464079
79,999,-17.175785675783093,-0.0073218420147895
80,999,-3.559951199361787,-0.0075317928567528
81,999,-5.594018646456583,-0.0073746456764638
82,999,-7.17538065906125,-0.007555984891951
83,999,-19.21966681042464,-0.0077911615371704
84,999,-4.278058388165459,-0.0076825721189379
85,999,-4.650492946649035,-0.0077135665342211
86,999,-2.6645257831051867,-0.0079299677163362
87,999,-6.858261524739003,-0.0080601964145898
88,999,-8.826499559796964,-0.0080719077959656
89,999,-2.2035216167374845,-0.0082370247691869
90,999,-1.330990057336752,-0.0084411548450589
91,999,-56.05190829955686,-0.0083081042394042
92,999,-11.12385660672044,-0.0084826862439513
93,999,-6.026090437035231,-0.0088294055312871
94,999,-2.1689248517663824,-0.0087894331663846
95,999,-7.315532969976939,-0.008946961723268
96,999,-19.282092793433435,-0.0093670897185802
97,999,-8.91916839634367,-0.0093680508434772
98,999,-3.670460402100603,-0.0093590766191482
99,999,-6.315352387734933,-0.0093326792120933
100,999,-1.2405646660739649,-0.0094605451449751
101,999,-42.26027106557753,-0.0099506452679634
102,999,-43.63663152605295,-0.009585216641426
103,999,-10.152297816030485,-0.0095426924526691
104,999,-3.447387502524828,-0.0095745539292693
105,999,-3.7432644442913854,-0.0092464033514261
106,999,-6.63081132608113,-0.0096060363575816
107,999,-4.396832329318258,-0.009734533727169
108,999,-8.002661585525368,-0.0100985057651996
109,999,-13.63231533321934,-0.0098555497825145
110,999,-13.007468440065544,-0.0097979111596941
111,999,-8.080665110094628,-0.0098682446405291
112,999,-6.0436330228824815,-0.0097769889980554
113,999,-2.805869861989943,-0.009850394912064
114,999,-8.431280036625495,-0.0098265139386057
115,999,-26.133985277178454,-0.009924229234457
116,999,-23.563889230690627,-0.0098358746618032
117,999,-15.205821687105995,-0.0099785961210727
118,999,-23.719867484458668,-0.0099626332521438
119,999,-9.079103519902787,-0.009952220134437
120,999,-6.414435978343178,-0.010490340180695
121,999,-10.09444270834928,-0.0098353177309036
122,999,-4.924741679281718,-0.0099549740552902
123,999,-5.020798192360301,-0.0097825741395354
124,999,-57.05322928759984,-0.0096761006861925
125,999,-22.93750474780797,-0.0097063006833195
126,999,-3.0722514796906,-0.0097663216292858
127,999,-4.092942441947167,-0.0096994303166866
128,999,-6.435301373932768,-0.0095707103610038
129,999,-3.557472549752166,-0.0095415171235799
130,999,-1.27333866066431,-0.0096213640645146
131,999,-3.167418362476635,-0.0094753941521048
132,999,-17.509494603204075,-0.0092853121459484
133,999,-9.331212433983865,-0.0094058271497488
134,999,-3.2299390356243487,-0.0092194015160202
135,999,-7.476857130730915,-0.0091544454917311
136,999,-7.160987582447735,-0.0090579073876142
137,999,-21.41357231384609,-0.0090262815356254
138,999,-18.17396448692307,-0.0089239738881587
139,999,-9.079326453857066,-0.0087318429723382
140,999,-36.85257608652827,-0.0088583966717123
141,999,-18.223921538328305,-0.0087085142731666
142,999,-3.033436422700186,-0.0086127128452062
143,999,-15.691477799470311,-0.0086225438863039
144,999,-23.65479122946272,-0.0086717437952756
145,999,-20.51214801599136,-0.0084431413561105
146,999,-47.36737876520783,-0.0085666868835687
147,999,-43.17131665645866,-0.0084188831970095
148,999,-13.964789214682051,-0.0083564631640911
149,999,-27.84683407163905,-0.0082936966791749
150,999,-12.428822811200732,-0.0084019489586353
151,999,-4.125773811168104,-0.0083087366074323
152,999,-1.394750852698411,-0.008263761177659
153,999,-3.718979405057533,-0.0083133755251765
154,999,-8.162396242143512,-0.0078069702722132
155,999,-18.36444427494475,-0.0080244438722729
156,999,-15.511926802577705,-0.0080629559233784
157,999,-2.214676422121646,-0.0079112807288765
158,999,-16.3239716260304,-0.0079372553154826
159,999,-1.6953532319285338,-0.0078981667757034
160,999,-8.742813963850265,-0.0076128593645989
161,999,-17.624823819619536,-0.0073926313780248
162,999,-11.389460062244268,-0.0078224837779998
163,999,-1.6820455597507782,-0.0076846675947308
164,999,-1.856212862996347,-0.007654596120119
165,999,-19.062817063648254,-0.0077831922098994
166,999,-13.972230657527687,-0.0074569275602698
167,999,-4.9931725009627215,-0.0075914696790277
168,999,-3.161846684730495,-0.0074768858030438
169,999,-7.293667177632028,-0.0074647525325417
170,999,-42.71441001642174,-0.0074848779477179
171,999,-3.686840811384039,-0.0073961829766631
172,999,-10.696583986914408,-0.0073884143494069
173,999,-33.476336386753246,-0.0073330402374267
174,999,-5.116839918640904,-0.0071717789396643
175,999,-8.641741166650592,-0.0070592397823929
176,999,-5.353170420273614,-0.0069118924438953
177,999,-20.835558974999003,-0.0068484605289995
178,999,-4.559145598428863,-0.0067312493920326
179,999,-18.58901616708273,-0.0066495924256742
180,999,-14.95105668053444,-0.0063815275207161
181,999,-18.433621366741136,-0.0064753293991088
182,999,-6.393763951112044,-0.006384418811649
183,999,-5.480372077379393,-0.0062964959070086
184,999,-12.860558060917729,-0.0062515810132026
185,999,-27.80717600043863,-0.006027016788721
186,999,-14.866239136134544,-0.0061394274234771
187,999,-10.719337914496336,-0.0060480767861008
188,999,-7.557574986114957,-0.0058861332945525
189,999,-3.4429438918726705,-0.0057250917889177
190,999,-7.480591962669904,-0.0057878321968019
191,999,-6.206364217465919,-0.0057313134893774
192,999,-13.665329650055098,-0.0056871962733566
193,999,-11.0469138312857,-0.0056583508849143
194,999,-12.475807617378877,-0.0055328826420009
195,999,-10.46964819407711,-0.0056159822270274
196,999,-8.970435006860967,-0.005619284696877
197,999,-3.3476849596860028,-0.0055091646499931
198,999,-10.75060605415024,-0.0054333130829036
199,999,-18.44288226729259,-0.005403674673289
200,999,-8.757344855133454,-0.0055862693116068
201,999,-26.99698829670808,-0.005479893181473
202,921,80.11981696635485,-0.0054818671196699
203,999,-14.942567792881164,0.0135062634944915
204,999,-6.255086803057765,0.0359922759234905
205,999,-4.613325746303167,0.0345554947853088
206,999,-5.017072636791752,0.0554491505026817
207,999,-10.138171838122588,0.0556351244449615
208,999,-4.12424621249477,0.0553049445152282
209,999,-8.321600217644132,0.0235882885754108
210,999,-13.068995616747571,0.0430153608322143
211,999,-17.72428200842228,0.0426451303064823
212,999,-8.140760237204919,0.0440505221486091
213,999,-6.496062473758229,0.1324129849672317
214,999,-3.535207506935804,0.1312607824802398
215,999,-7.829603002529748,0.1378455311059951
216,999,-6.855686775742475,0.2473222315311432
217,999,-5.55613959324868,0.223138615489006
218,999,-7.018091648763696,0.2015164643526077
219,999,-20.567342130467296,0.2155415713787078
220,999,-30.113251232512084,0.2226377427577972
221,999,-49.61904365063906,0.2286432534456253
222,999,-12.48477874351221,0.2320440113544464
223,999,-5.649487478386167,0.2584159076213836
224,999,-4.7996612892320805,0.2506204545497894
225,999,-1.1628518854151435,0.270906001329422
226,999,-3.662554162387388,0.266177237033844
227,999,-6.611161736630375,0.288724422454834
228,999,-22.141565464723904,0.2887391448020935
229,999,-12.894534302266765,0.282154232263565
230,999,-21.44384676578701,0.2817426323890686
231,999,-13.532089249638377,0.2949939370155334
232,327,89.55382488907412,0.2854319214820862
233,402,87.00406063943439,0.2658193111419678
234,609,66.93195179976146,0.2457317560911178
235,423,76.35634782863463,0.2376402914524078
236,327,88.53700709226814,0.2004164457321167
237,221,93.17057252270914,0.1844204515218734
238,342,91.94827718084316,0.1857785731554031
239,463,80.30677237769123,0.1883789300918579
240,300,85.6004082635045,0.1069581732153892
241,999,-99.900001488626,-0.4909424781799316
242,999,-60.02820213139057,-1.1965538263320925
243,999,-64.44567331112921,-1.5222818851470947
244,999,-51.80202411860228,0.2789794206619262
245,999,-33.61911192536354,3.228353977203369
246,999,-57.62008321471512,8.094322204589844
247,999,-86.36714844033122,6.952105045318604
248,999,-82.1948554944247,0.8137089610099792
249,999,-97.21084327623248,-3.998679637908936
250,99,94.45337035866396,-3.02653169631958
251,104,95.52026279173153,-2.80844783782959
252,187,91.87296485488696,-3.67813491821289
253,97,96.07412478528546,-2.4675774574279785
254,155,92.66277399759927,-3.5478744506835938
255,116,95.0526386796837,-1.9298858642578125
256,122,91.7167116509736,-2.241782665252685
257,355,72.54535715952807,-5.971725940704346
258,999,-29.00785307666149,-0.8407480120658875
259,999,-63.1449856441468,1.5419437885284424
260,999,-97.72811152786016,2.1652653217315674
261,999,-69.80698310397565,7.959429740905762
262,999,-99.0792001709342,12.223074913024902
263,999,-99.900001488626,24.258281707763672
264,999,-99.4126819819212,43.76233673095703
265,988,24.537914043292403,42.14690780639648
266,172,89.85746684528749,48.84064483642578
267,80,94.61355839307362,46.078460693359375
268,79,95.09134298802928,49.61214447021485
269,82,95.14719959586,52.53181838989258
270,86,95.42769579644664,60.87639236450195
271,86,93.87810265412554,86.41670989990234
272,166,85.3397425306539,81.1719741821289
273,82,93.79412589974528,91.6786117553711
274,77,93.71855156405944,111.15824127197266
275,80,94.04493659510626,115.52580261230467
276,80,94.1307410147274,114.3149185180664
277,72,94.21752181067131,114.0647964477539
278,78,94.9038670075206,121.45222473144533
279,73,94.095561333379,131.6286163330078
280,72,94.28231451962348,127.616943359375
281,78,94.60178689981694,150.31752014160156
282,73,94.93974787689513,148.61740112304688
283,79,95.02369770822042,175.2486114501953
284,77,94.16254194884095,174.5995330810547
285,72,93.96421590360114,185.61184692382807
286,80,94.23539421912848,189.21408081054688
287,73,94.22596851384152,219.8633728027344
288,73,94.07905318925988,231.5019073486328
289,71,94.07864240245544,242.46630859375
290,73,94.72063135240751,254.8810272216797
291,75,93.9422533599136,246.0116729736328
292,71,94.74773550996906,286.0392150878906
293,74,94.86968199152034,269.4886169433594
294,70,93.64251808275003,316.46484375
295,70,94.37887411855627,341.7857360839844
296,69,93.91420990141341,342.22845458984375
297,77,94.28659213538049,342.31378173828125
298,69,94.17924386821687,357.7201843261719
299,74,94.63588562805671,373.03277587890625
